Name,GP,GS,Min,Pts,FGM,FGA,3PM,3PA,FTM,FTA,OReb,Reb,Ast,TO,Stl,Blk,PF,2PM,2PA,2P%,3P%,FG%,eFG
18-19 Giannis Antetokounmpo,82,68.0,2405.0,1916,768,1366,45,198,335,479,118,705,465,263,91,90,233,723,1168,61.900684931506845,22.727272727272727,56.22254758418741,57.8696925329429
20-21 Giannis Antetokounmpo,82,53.0,2345.0,1827,738,1375,73,233,278,400,86,650,460,246,84,82,171,665,1142,58.23117338003503,31.330472103004293,53.67272727272727,56.32727272727273
21-22 Giannis Antetokounmpo,82,43.0,2254.0,1961,781,1436,66,228,333,459,90,689,451,230,89,82,176,715,1208,59.18874172185431,28.947368421052634,54.38718662952646,56.68523676880224
95-96 Steve Kerr,82,38.0,1967.0,666,236,513,116,248,78,86,25,110,217,57,80,1,98,120,265,45.28301886792453,46.774193548387096,46.00389863547758,57.30994152046784
21-22 Mitchell Robinson,82,51.0,1905.0,614,276,380,0,0,62,111,248,522,48,72,81,116,189,276,380,72.63157894736842,0.0,72.63157894736842,72.63157894736842
96-97 Steve Kerr,82,44.0,1901.0,664,253,510,107,239,51,65,22,130,199,59,79,6,95,146,271,53.874538745387454,44.76987447698745,49.6078431372549,60.09803921568628
19-20 Mitchell Robinson,82,31.0,1807.0,772,343,503,0,4,86,143,198,488,61,59,86,102,184,343,499,68.7374749498998,0.0,68.19085487077535,68.19085487077535
21-22 Matisse Thybulle,82,66.0,1724.0,411,165,342,47,155,34,47,26,126,79,54,148,66,142,118,187,63.101604278074866,30.32258064516129,48.24561403508772,55.11695906432749
20-21 Matisse Thybulle,82,16.0,1514.0,259,102,287,43,154,12,27,22,126,87,43,147,82,157,59,133,44.3609022556391,27.92207792207792,35.54006968641115,43.03135888501742
09-10 DeShawn Stevenson,82,0.0,927.0,130,44,209,16,109,26,37,10,108,83,47,19,6,63,28,100,28.000000000000004,14.678899082568808,21.052631578947366,24.880382775119617
80-81 John Duren,79,0.0,506.0,74,32,130,0,3,10,22,4,32,54,44,27,1,47,32,127,25.196850393700785,0.0,24.615384615384617,24.615384615384613
75-76 Lee Davis,75,0.0,426.0,53,17,108,0,0,19,34,0,33,12,16,10,7,88,17,108,15.74074074074074,0.0,15.74074074074074,15.74074074074074
