Name,GP,GS,Min,Pts,FGM,FGA,3PM,3PA,FTM,FTA,OReb,Reb,Ast,TO,Stl,Blk,PF,2PM,2PA,2P%,3P%,FG%,eFG
21-22 Christian Wood,82,63,2131,1133,440,955,110,334,143,222,88,521,189,121,61,47,168,330,621,53.14009661835749,32.93413173652694,46.07329842931937,51.832460732984295
16-17 Nikola Jokic,82,52,2095,1179,490,905,31,135,168,214,193,579,427,162,66,36,161,459,770,59.61038961038961,22.962962962962962,54.14364640883977,55.85635359116022
22-23 Stephen Curry,82,48,1989,1598,548,1146,265,615,237,259,27,250,388,186,58,14,96,283,531,53.29566854990584,43.08943089430895,47.81849912739965,59.38045375
93-94 Nate McMillan,82,60,1926,404,159,412,44,136,42,74,48,241,421,111,231,16,165,115,276,41.66666666666667,32.35294117647059,38.592233009708735,43.932038834951456
21-22 Mitchell Robinson,82,45,1885,702,320,441,0,6,62,132,238,435,43,62,64,102,182,320,435,73.56321839,0,72.56235827664399,72.56235827664398
19-20 Mitchell Robinson,82,37,1800,790,361,499,1,1,67,119,192,431,45,56,84,129,208,360,498,72.28915662650603,100,72.34468937875751,72.44488977955912
21-22 Domantas Sabonis,82,30,1685,888,348,599,40,104,152,198,131,482,288,149,54,12,126,308,495,62.22222222222222,38.46153846153847,58.09682804674458,61.43572621035059
17-18 Stephen Curry,82,34,1673,1372,482,987,234,541,174,191,45,207,320,174,96,7,74,248,446,55.60538116591929,43.253234750462106,48.83485309017224,60.68895643363729
20-21 Christian Wood,82,19,1544,918,375,731,87,221,81,140,52,339,111,115,43,58,93,288,510,56.470588235294116,39.366515837104075,51.29958960328317,57.25034199726402
95-96 Nate McMillan,82,22,1298,267,94,263,43,121,36,57,45,162,228,79,118,21,136,51,142,35.91549295774648,35.53719008264463,35.741444866920155,43.91634980988593
05-06 DerMarr Johnson,82,0,943,330,114,278,50,137,52,65,21,70,66,43,41,24,73,64,141,45.39007092198582,36.496350364963504,41.007194244604314,50
21-22 Lance Stephenson,82,0,768,339,135,305,29,81,40,51,7,97,168,65,40,3,61,106,224,47.32142857142857,35.80246913580247,44.26229508196721,49.01639344262295
